Mean,Std
0.23314929,0.1426217
0.21997343,0.13816458
0.20265582,0.13177027
0.18272796,0.12561293
0.17078087,0.12407841
0.18812084,0.1277232
0.172317,0.124112554
0.1690071,0.12284922
0.15797263,0.1217847
0.15704095,0.121803485
0.15630004,0.12246675
0.16687079,0.12615262
0.19180946,0.1332743
0.21778746,0.14399448
0.24207228,0.15547387
0.26389775,0.16621323
0.2853008,0.1759722
0.30142093,0.18282527
0.30742744,0.18381597
0.3113859,0.18453252
0.31218883,0.18453573
0.31041858,0.18362299
0.31125036,0.18432057
0.31057,0.18420172
0.30804437,0.18309298
0.30727714,0.18280886
0.30699188,0.18262765
0.30613348,0.18204351
0.30823326,0.18255326
0.30959478,0.18216808
0.31013274,0.18103053
